score,lang,archive,repo,task_id,loc,files,tests,confidence,description,fix_commit,source_archive,breakdown
86.0,JS/TS,yes,worknest,worknest__d4fcf27708be,110,5,3,high,"Investigate and fix auth issue indicated by commit 'test: Playwright e2e suite (auth/projects/tickets)' in apps/web/e2e/fixtures.ts, apps/web/playwright.config.",d4fcf27708be4641a59dbb1bb5317e00bbaee1dd,project_silver_repos/9wPuGNy2ZjhG5wwvAAs7__worknest.zip,size=+25 files=+20 tests=+12 domain=+6 lang=+12 mining=+11
85.5,JS/TS,yes,whaler,whaler__e400191cf01e,132,2,1,high,Fix(filesystem-auth): allow worktree access through macOS /var canonical alias (#1589),e400191cf01e8f9672289fac96e8c084e49dff1b,project_silver_repos/oxneHL3CRifbHfhEpV09__whaler.zip,size=+18 files=+15 tests=+12 domain=+12 lang=+12 mining=+16.5
83.5,JS/TS,yes,lecturn,lecturn__cbaf1ee7b488,136,3,1,high,Fix(player): route media through /stream proxy so the auth cookie ships,cbaf1ee7b48809f1c0b37c21caac216744f59a73,project_silver_repos/XwTadDYsj4OsDyurZ3HC__lecturn.zip,size=+18 files=+15 tests=+12 domain=+12 lang=+12 mining=+14.5
82.5,Java,yes,vault-service,vault-service__d1fe39bd955d,57,5,1,medium-high,Investigate and fix timeout issue indicated by commit 'PRF-8651:Make connection timeout and pool connection timeout values for Bluefin configurable' in Bluefin/,d1fe39bd955d7594f80c6ea0f22884d0e5d80b40,project_silver_repos/4EFokkH8brdfoCQgA8jC__vault-service.zip,size=+25 files=+20 tests=+12 domain=+12 lang=+6 mining=+7.5
80.5,JS/TS,yes,LocalPay-System-and-API,localpay-system-and-api__3df1d6b35be9,60,5,3,high,Fixed the tst cases but they still need more coverage and statement,3df1d6b35be93c7d2efb9a8359c1b18b83c53051,project_silver_repos/nGIkUIMl9OuYeQAh5XtC__LocalPay-System-and-API.zip,size=+25 files=+20 tests=+12 domain=+0 lang=+12 mining=+11.5
77.5,JS/TS,yes,repflow-frontend,repflow-frontend__d0e8c510d44e,122,3,1,high,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",d0e8c510d44eb624a160c23d1c6020978fe3912c,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+14.5
77.5,JS/TS,yes,repflow-frontend,repflow-frontend__f3304413b50e,122,3,1,high,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",f3304413b50e027e900cc4dee164470829d755c3,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+14.5
77.5,JS/TS,yes,Sefarius,sefarius__141e5b79e4a2,118,3,1,high,Fix(frontend): surface inline validation errors on stepper Next click,141e5b79e4a22c31f1905e3f3d010cc63d9fc220,project_silver_repos/UMUsuLdxETQowOJrP247__Sefarius.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+13.5
75.5,JS/TS,yes,repayment-service,repayment-service__c7ccacf23f89,31,2,1,high,Fix (tw-495): pass subscription accountType through as-is,c7ccacf23f89cb5ed88e2db617a2b561ed8323ce,project_silver_repos/UL8oMB1GmGgKChghMd26__repayment-service.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+11.5
75.5,JS/TS,yes,repflow-frontend,repflow-frontend__c8b970d05e38,50,3,1,high,Fix(ux): friendlier JWK/Cognito errors; avoid mislabeling API fetch failures as offline,c8b970d05e3830c1efd2ee217c05d82532b0f9fd,project_silver_repos/yXA0BqxjhUZ0KUQ7z40x__repflow-frontend.zip,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+11.5
