score,lang,verdict,repo,task_id,source,test,config,doc,fix_commit,description
88.5,JS/TS,GRADEABLE,lecturn,lecturn__cbaf1ee7b488,1,1,1,0,cbaf1ee7b48809f1c0b37c21caac216744f59a73,Fix(player): route media through /stream proxy so the auth cookie ships
82.5,JS/TS,GRADEABLE,repflow-frontend,repflow-frontend__d0e8c510d44e,2,1,0,0,d0e8c510d44eb624a160c23d1c6020978fe3912c,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV"
82.5,JS/TS,GRADEABLE,repflow-frontend,repflow-frontend__f3304413b50e,2,1,0,0,f3304413b50e027e900cc4dee164470829d755c3,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV"
82.5,Java,GRADEABLE,vault-service,vault-service__d1fe39bd955d,4,1,0,0,d1fe39bd955d7594f80c6ea0f22884d0e5d80b40,Investigate and fix timeout issue indicated by commit 'PRF-8651:Make connection timeout and pool connection timeout valu
80.5,JS/TS,GRADEABLE,LocalPay-System-and-API,localpay-system-and-api__3df1d6b35be9,1,3,1,0,3df1d6b35be93c7d2efb9a8359c1b18b83c53051,Fixed the tst cases but they still need more coverage and statement
80.5,JS/TS,GRADEABLE,repflow-frontend,repflow-frontend__c8b970d05e38,2,1,0,0,c8b970d05e3830c1efd2ee217c05d82532b0f9fd,Fix(ux): friendlier JWK/Cognito errors; avoid mislabeling API fetch failures as offline
70.0,Java,GRADEABLE,vault-service,vault-service__52608cf0c6bb,2,1,0,0,52608cf0c6bb98e77f97b96676574295445a1a64,Investigate and fix fixed issue indicated by commit 'PRF-8744: added tests for bluefin util and fixed giftCardTemplateRe
70.0,Java,GRADEABLE,vault-service,vault-service__6740fa2d61ec,2,2,0,0,6740fa2d61ecc60b6baab4d2a7b028b0930d6367,Investigate and fix fix issue indicated by commit 'PRF-8801 : Fix Existing integration test for vault entries' in src/ma
68.5,unknown,GRADEABLE,godhand,godhand__550c995fb17c,2,2,0,0,550c995fb17c4aa1491e09f42ab9d96fac3d14fa,Fix: restore lobby routing fallback and backend test stability
68.0,Python,GRADEABLE,meridian,meridian__44eeae0f868b,5,4,0,0,44eeae0f868b6499e82c2ec4514aadd9fe902568,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis
68.0,JS/TS,GRADEABLE,pantry,pantry__3c79d183b353,1,1,0,0,3c79d183b3538cfac3cd877fec33a2a053d0364a,Investigate and fix validate issue indicated by commit 'importers/jsonl: read/write/validate newline-delimited JSON' in 
67.0,Python,GRADEABLE,timewindow-lib,timewindow-lib__9e26d29b51b0,2,1,0,0,9e26d29b51b05537c86e63f0ee1b8f3cecce1e39,Investigate and fix parse issue indicated by commit 'feat: parse compact duration strings with explicit error types' in 
62.0,unknown,GRADEABLE,dineops,dineops__0646152b8e47,1,1,0,0,0646152b8e47234443cb6cdcd1afa3f5c9a50dc9,"Investigate and fix precision issue indicated by commit 'common: money helpers (quantize per currency precision, to_cent"
61.0,JS/TS,GRADEABLE,pantry,pantry__db71cbed2b6e,1,1,0,0,db71cbed2b6ea2d5046961361569e42023438390,Investigate and fix canonical issue indicated by commit 'core/abbrev: canonical-form table for unit abbreviations' in sr
61.0,JS/TS,GRADEABLE,pantry,pantry__f246bb8a3d7e,1,1,0,0,f246bb8a3d7e3db3d455a2b95037752d468ba386,"Investigate and fix parser issue indicated by commit 'importers/csv-parser: tiny CSV reader (quoted fields, BOM, CRLF)' "
60.5,JS/TS,GRADEABLE,graphkit,graphkit__25ebacd18c75,1,1,0,0,25ebacd18c757143ca01edbcc62bcf12bc7c0c6f,"Investigate and fix path issue indicated by commit 'add path utilities: Eulerian, Hamiltonian, isSimplePath, allPaths, i"
60.5,JS/TS,GRADEABLE,graphkit,graphkit__6363ce2ca293,1,1,0,0,6363ce2ca29328c197c630c16e42409540632882,"Investigate and fix edge issue indicated by commit 'add serialization: JSON, DOT, adjacency list, edge list import and e"
60.5,JS/TS,GRADEABLE,graphkit,graphkit__e0e9e8fd1032,1,1,0,0,e0e9e8fd10324708b18e5eb99ea008cd38daa766,"Investigate and fix path issue indicated by commit 'add shortest path: Dijkstra, Bellman-Ford, Floyd-Warshall, A*' in sr"
56.0,unknown,GRADEABLE,dineops,dineops__fc02d0986176,1,1,0,0,fc02d09861768dfd66e9927d0d69ccdaf3a904e5,"Investigate and fix parse issue indicated by commit 'common: timeutils helpers (day/week windows, ISO parse, hours↔minut"
47.5,unknown,GRADEABLE,godhand,godhand__64b8f123b3cc,9,1,0,1,64b8f123b3cc16383b09bfee9edfdaa3dc03f906,Fix: stabilize auth csrf flow and production asset loading
