score,lang,repo,task_id,loc,files,tests,confidence,description,fix_commit,breakdown
99.0,Python,FlowQ,flowq__3c93af722e83,43,5,2,high,"Fix: resolve test isolation, timeout=None DB constraint, and Semaphore.acquire blocking",3c93af722e832fbc89d2ec58afeea1a048113591,size=+25 files=+20 tests=+12 domain=+18 lang=+10 mining=+14
86.0,JS/TS,worknest,worknest__d4fcf27708be,110,5,3,high,"Investigate and fix auth issue indicated by commit 'test: Playwright e2e suite (auth/projects/tickets)' in apps/web/e2e/fixtures.ts, apps/web/playwright.config.",d4fcf27708be4641a59dbb1bb5317e00bbaee1dd,size=+25 files=+20 tests=+12 domain=+6 lang=+12 mining=+11
85.5,JS/TS,whaler,whaler__e400191cf01e,132,2,1,high,Fix(filesystem-auth): allow worktree access through macOS /var canonical alias (#1589),e400191cf01e8f9672289fac96e8c084e49dff1b,size=+18 files=+15 tests=+12 domain=+12 lang=+12 mining=+16.5
83.5,JS/TS,lecturn,lecturn__cbaf1ee7b488,136,3,1,high,Fix(player): route media through /stream proxy so the auth cookie ships,cbaf1ee7b48809f1c0b37c21caac216744f59a73,size=+18 files=+15 tests=+12 domain=+12 lang=+12 mining=+14.5
82.5,Java,vault-service,vault-service__d1fe39bd955d,57,5,1,medium-high,Investigate and fix timeout issue indicated by commit 'PRF-8651:Make connection timeout and pool connection timeout values for Bluefin configurable' in Bluefin/,d1fe39bd955d7594f80c6ea0f22884d0e5d80b40,size=+25 files=+20 tests=+12 domain=+12 lang=+6 mining=+7.5
81.5,JS/TS,LatticeSync,latticesync__f81160bc7fba,52,2,1,high,"Fix(perf): optimize MerkleDAG — add depth memoization cache, fix LCA performance",f81160bc7fba05b294bc32303f92a474c2336b02,size=+25 files=+15 tests=+12 domain=+6 lang=+12 mining=+11.5
81.0,Java,cobol-rekt,cobol-rekt__f77fb0cc1b39,116,6,1,high,Investigate and fix traversal issue indicated by commit 'Test for tree mapping traversal' in smojol-toolkit/src/main/java/org/smojol/toolkit/analysis/task/analy,f77fb0cc1b39d3044b2225af3a43767168e081dc,size=+25 files=+20 tests=+12 domain=+6 lang=+6 mining=+12
81.0,Python,TaxscapeCursor,taxscapecursor__8eb6ae02d20d,39,3,0,medium-high,"Fix auth race condition on page refresh - add retry logic to getAuthHeaders, improve timeout handling",8eb6ae02d20dedab923797c4b691000cd1918513,size=+25 files=+15 tests=-4 domain=+20 lang=+10 mining=+15
81.0,Python,Smartbiometricsecurity,smartbiometricsecurity__3c18fa450f08,171,4,4,medium,"Investigate and fix auth issue indicated by commit 'test(auth): password + tokens + sessions + mfa' in tests/test_mfa.py, tests/test_password.py, tests/test_ses",3c18fa450f08f3e48ad3a98b62009e97ebdae5e1,size=+18 files=+20 tests=+12 domain=+18 lang=+10 mining=+3
80.5,JS/TS,LocalPay-System-and-API,localpay-system-and-api__3df1d6b35be9,60,5,3,high,Fixed the tst cases but they still need more coverage and statement,3df1d6b35be93c7d2efb9a8359c1b18b83c53051,size=+25 files=+20 tests=+12 domain=+0 lang=+12 mining=+11.5
79.0,Python,ledgerlift,ledgerlift__5db382c20ad8,85,3,2,high,"Investigate and fix auth, path issue indicated by commit 'tests for auth forms: validators + happy path' in src/ledgerlift/forms/tag.py.",5db382c20ad80f84b942f61e124f7b514a3d814f,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+11
77.5,JS/TS,repflow-frontend,repflow-frontend__d0e8c510d44e,122,3,1,high,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",d0e8c510d44eb624a160c23d1c6020978fe3912c,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+14.5
77.5,JS/TS,repflow-frontend,repflow-frontend__f3304413b50e,122,3,1,high,"Fix(auth): pick Cognito defaults from NEXT_PUBLIC_API_BASE_URL, not NODE_ENV",f3304413b50e027e900cc4dee164470829d755c3,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+14.5
77.5,JS/TS,Sefarius,sefarius__141e5b79e4a2,118,3,1,high,Fix(frontend): surface inline validation errors on stepper Next click,141e5b79e4a22c31f1905e3f3d010cc63d9fc220,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+13.5
77.0,JS/TS,analytics-service,analytics-service__40283cb9caf4,31,3,2,high,Fix: correct API Gateway base path configuration for integration tests,40283cb9caf461e802f7a028d6eca1542b2108d3,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+13
77.0,JS/TS,notification-backend,notification-backend__62fe932a13bf,70,2,1,medium-high,Investigate and fix parser issue indicated by commit 'feat(ingestion): NDJSON replay parser' in src/ingestion/NdjsonStreamParser.ts.,62fe932a13bf289aa9e0597d4cfa83e4dc43ba52,size=+25 files=+15 tests=+12 domain=+6 lang=+12 mining=+7
75.5,JS/TS,repayment-service,repayment-service__c7ccacf23f89,31,2,1,high,Fix (tw-495): pass subscription accountType through as-is,c7ccacf23f89cb5ed88e2db617a2b561ed8323ce,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+11.5
75.5,JS/TS,repflow-frontend,repflow-frontend__c8b970d05e38,50,3,1,high,Fix(ux): friendlier JWK/Cognito errors; avoid mislabeling API fetch failures as offline,c8b970d05e3830c1efd2ee217c05d82532b0f9fd,size=+25 files=+15 tests=+12 domain=+0 lang=+12 mining=+11.5
75.5,Python,Modelix-DataAnalytics,modelix-dataanalytics__2080904d2500,80,3,0,medium-high,"Fix: Google OAuth end-to-end - route alias, cookie path, fetch_token, async thread",2080904d25009e356366a3d7c76eda68de3ca4e9,size=+25 files=+15 tests=-4 domain=+20 lang=+10 mining=+9.5
75.0,Java,LeapFrog-cards-service,leapfrog-cards-service__1010ab52c2d6,114,5,3,high,"Investigate and fix fix, validation issue indicated by commit 'PRF-9178 | Fix for JP state validation & added unit tests for JP changes (#584)' in src/main/java",1010ab52c2d6bbf6f5f84400822ba22332fc9a52,size=+25 files=+20 tests=+12 domain=+0 lang=+6 mining=+12
75.0,JS/TS,blog-writer-will,blog-writer-will__9b703707fbe1,59,4,0,medium-high,Fix CSRF token in invite,9b703707fbe19641752f6496845831c9bb137116,size=+25 files=+20 tests=-4 domain=+12 lang=+12 mining=+10
75.0,Python,brindle,brindle__86b74f180b5a,56,2,1,medium-high,Fix: infer_schema marks fields seen mid-stream as optional,86b74f180b5a30bb752bd6e7a66bbbda37660321,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+7
75.0,Python,ledgerlift,ledgerlift__d4053a860883,104,2,1,medium-high,"Investigate and fix security issue indicated by commit 'security util: tokens, hmac sign/verify, signed urls' in src/ledgerlift/utils/security.py.",d4053a860883c04384cad0aeb737711ba4810cf4,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+7
75.0,Python,PulseEngine,pulseengine__d677d8b5bfa0,100,3,1,medium-high,"Fix(perf): optimize NFA engine — shared_ptr matched_events with COW, cached epsilon closures",d677d8b5bfa0ba2be8894e916b837ecb226254e3,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+7
75.0,Python,PulseEngine_patched,pulseengine-patched__d677d8b5bfa0,100,3,1,medium-high,"Fix(perf): optimize NFA engine — shared_ptr matched_events with COW, cached epsilon closures",d677d8b5bfa0ba2be8894e916b837ecb226254e3,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+7
74.5,JS/TS,whaler,whaler__bba744a8cb72,70,4,1,high,Fix(mobile): use neutral camera permission copy (#1504),bba744a8cb72b4eeb8fabff1658acff4b2d16945,size=+25 files=+20 tests=+12 domain=-9 lang=+12 mining=+14.5
74.5,JS/TS,voice-agent,voice-agent__a79f13cb1f0f,103,2,0,medium-high,"Fix login hang: remove auth init timeout, add timeouts to refresh, force USER_PASSWORD_AUTH; add Cognito InitiateAuth test script",a79f13cb1f0f2c0b270ae04c812c9ff41dbd28d5,size=+25 files=+15 tests=-4 domain=+12 lang=+12 mining=+14.5
74.5,Python,bookz,bookz__ca44c50e0971,112,2,1,medium-high,Investigate and fix auth issue indicated by commit 'sync: webdav client stub (basic auth + put/get)' in bookz/sync.py.,ca44c50e0971435dd954b05c825686b3e7682292,size=+25 files=+15 tests=+12 domain=+6 lang=+10 mining=+6.5
74.0,JS/TS,analytics-service,analytics-service__7de1f623329f,172,3,2,high,Investigate and fix auth issue indicated by commit 'update analytics auth' in src/functions/analyticsAuthorizer/analyticsAuthorizer.ts.,7de1f623329f64280476451557242eb6644b5c8b,size=+18 files=+15 tests=+12 domain=+6 lang=+12 mining=+11
74.0,Python,FlowQ,flowq__59b178e66304,38,5,1,medium-high,Fix: resolve 13 test failures in v0.4.0 modules,59b178e66304af02dff4e8ef80371274b9894a45,size=+25 files=+20 tests=+12 domain=+0 lang=+10 mining=+7
74.0,Python,runs,runs__a56c2761afd4,51,6,4,medium-high,"Fix: strava date parsing, vdot formula, test assertions",a56c2761afd40799bef78acc97ea3f42cc3c3f16,size=+25 files=+20 tests=+12 domain=+0 lang=+10 mining=+7
