score,lang,verdict,repo,task_id,source,test,config,doc,fix_commit,description
70.0,Python,ok-but-no-tests,repflow,repflow__0a1f78058353,3,0,0,1,0a1f78058353ff57093db3d974ec76dbeec0626c,Fix bearer auth update error handler to show missing required feilds on error
70.0,Python,ok-but-no-tests,taskbeast,taskbeast__aee1230effc5,3,0,0,0,aee1230effc5b58e3f951f6b80cea9e8f92af71f,Fixed login page toast error by updating router and auth logic
69.5,Python,ok-but-no-tests,taskbeast,taskbeast__f34e8b28c674,1,0,1,0,f34e8b28c674a81b3418327cdaa585ea29d0d8c8,Fixed github action timeout issue by increasing it to 10 mins
68.0,Python,GRADEABLE,meridian,meridian__44eeae0f868b,5,4,0,0,44eeae0f868b6499e82c2ec4514aadd9fe902568,Fix infinite loop in simple_cycles and duplicate cycles in cycle_basis
67.0,Python,GRADEABLE,timewindow-lib,timewindow-lib__9e26d29b51b0,2,1,0,0,9e26d29b51b05537c86e63f0ee1b8f3cecce1e39,Investigate and fix parse issue indicated by commit 'feat: parse compact duration strings with explicit error types' in 
62.5,Python,ok-but-no-tests,FastAPI_RAG_Gateway,fastapi-rag-gateway__e01a81a42c38,3,0,0,0,e01a81a42c38dca8b2af6a45282c591a8884f21f,"Investigate and fix auth issue indicated by commit 'feat(schemas): common envelope, pagination, auth payloads' in app/sc"
60.5,Python,GRADEABLE,bulwark,bulwark__71c6154c597e,1,1,0,0,71c6154c597e813c2d88aca46714ee69a7d2cff2,Investigate and fix decoder issue indicated by commit 'chunked: streaming Transfer-Encoding decoder with trailers and bo
58.0,Python,GRADEABLE,CryoGraph,cryograph__64d7825e5988,2,1,0,0,64d7825e59885930c67a6a7354feb723bdc45cf7,"Fix(perf): unify eccentricity computation, fix graph_density, optimize clustering"
57.0,Python,ok-but-no-tests,rope-new-repo-root,rope-new-repo-root__ab67692d09e9,3,0,1,2,ab67692d09e9f5f79d2ec8b24785e4c0650e733f,Investigate and fix bug issue indicated by commit '[2280-2289] test(extract-method) recreating bug: Unable do extract me
56.5,Python,ok-but-no-tests,FastAPI_RAG_Gateway,fastapi-rag-gateway__ffc99205ab18,3,0,0,0,ffc99205ab1899de9c60fb98e130f68ddcef090e,"Investigate and fix auth issue indicated by commit 'feat(services): auth and users' in app/services/__init__.py, app/ser"
52.0,Python,GRADEABLE,CryoGraph,cryograph__22291410b572,2,2,0,0,22291410b572e902a61ddb1dc3be12198cc522f9,"Fix(perf): optimize floyd_warshall with flat vectors, fix count_paths and diameter_approx"
50.0,Python,GRADEABLE,CryoGraph,cryograph__8369080cf8e1,1,1,0,0,8369080cf8e17fab3a4c19cd135cf1de9d7174e9,Fix(perf): optimize betweenness_centrality with vector indexing + pagerank with cached out_degree
50.0,Python,ok-but-no-tests,rope-new-repo-root,rope-new-repo-root__c84620097038,3,0,0,1,c846200970387926f6191346197232a25d2570c1,Investigate and fix integer issue indicated by commit '[2970-2979] Remove code that was used to implement long integer l
48.5,Python,ok-but-no-tests,converge,converge__d1e6f1a44026,2,0,0,0,d1e6f1a4402676d18e0b3be6b9b8acd162d498c7,"Fix: OR-Set concurrent add/remove — add must win, not dot-union"
43.5,Python,ok-but-no-tests,taskflow,taskflow__7f99e0e958b7,1,0,0,0,7f99e0e958b7c9c7814112a821f006b583d391ce,Investigate and fix concurrency issue indicated by commit 'Add queue-level concurrency limits' in taskflow/core/concurre
37.5,Python,ok-but-no-tests,bulwark,bulwark__0ef4bda65809,1,0,0,0,0ef4bda65809c926bbd890f5645fad9088510dcc,Investigate and fix concurrent issue indicated by commit 'conncount: per-key concurrent connection counter with double-r
36.5,Python,ok-but-no-tests,nexusflow,nexusflow__e47c729d03d7,1,0,0,0,e47c729d03d7460306dcfd6e6cf7c704d405c257,Investigate and fix permission issue indicated by commit 'Add RBAC permission system with role hierarchy' in nexusflow/a
35.5,Python,ok-but-no-tests,nota,nota__14dfa36b1bd7,1,0,0,0,14dfa36b1bd7f6d3caf14359d94e721a1419b4dd,"Investigate and fix thread issue indicated by commit 'feat: webhook delivery with retry, back-off, HMAC signing, and thr"
33.0,Python,ok-but-no-tests,repflow,repflow__536b028e8049,3,0,0,0,536b028e804929acaaab5601d527fec9eefc0aca,Fix: Ensure case-insensitive repflow username lookup and validate FSM execution result.
31.5,Python,ok-but-no-tests,harbor-sim,harbor-sim__4b94c1c49dc2,1,0,0,0,4b94c1c49dc228f14bfef8d820aa04c58c9226ea,Investigate and fix crash issue indicated by commit 'scenario: expand helpers (mesh/star/crash/partition)' in harbor_sim
30.5,Python,ok-but-no-tests,nota,nota__4ef91031056c,1,0,0,0,4ef91031056c92140092ea7bc54497f7f0367249,Investigate and fix parser issue indicated by commit 'feat: add wiki-link parser with alias and heading support' in nota
25.0,Python,GRADEABLE,bynaus-ai-companion,bynaus-ai-companion__4134a2fc1079,6,1,0,1,4134a2fc1079e314bbdf33c666ea539c13b2208d,Fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error
25.0,Python,GRADEABLE,bynaus-ai-companion,bynaus-ai-companion__e23adf2c631c,6,1,0,1,e23adf2c631c9d8fbe8a18651e1b09fc52ab5742,Fix: resolve email sync crash (associations=None) and SysEng brief ObjectId error
25.0,Python,ok-but-no-tests,harbor-sim,harbor-sim__452fe11c01a3,1,0,0,0,452fe11c01a38ae76833179a4956d5e086992144,"Investigate and fix decode, encode issue indicated by commit 'codec: framed encode/decode with crc + msgpack payloads' i"
24.0,Python,ok-but-no-tests,harbor-sim,harbor-sim__2e1ae3eb22ca,1,0,0,0,2e1ae3eb22caeed9a7688f69a3cc1b927ecf042c,Investigate and fix truncate issue indicated by commit 'log: append-only with compact + truncate' in harbor_sim/storage/
